"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3","3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","J1, J2, J3, J4, J5","5","Conn_01x01","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"3","Q1, Q2","2","2N2222","Package_TO_SOT_THT:TO-18-3",""
"4","R1","1","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"5","R2","1","5.1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"6","R3, R4","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
