"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3","3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","J1","1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"3","J2","1","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"4","Q1, Q2","2","2N2222","Package_TO_SOT_THT:TO-18-3",""
"5","R1","1","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"6","R2","1","5.1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"7","R3, R4","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
