"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","J1, J2","2","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"3","J3","1","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"4","Q1, Q2","2","2N2222","Package_TO_SOT_THT:TO-18-3",""
"5","R1, R2","2","300","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"6","R3, R4, R5","3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
